ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
530082,Clemens Weißbier BIOLAND,Brauerei Clemens Härle,Regional,Bioland,"20x0,5l",20.944,3.3439999999999976,19
530060,Fidelio naturtrüb BIOLAND - Bügelverschluss,Brauerei Clemens Härle,Regional,Bioland,"18x0,33l",20.563200000000002,3.283200000000001,19
530041,Härle Natur Pils BIOLAND,Brauerei Clemens Härle,Deutschland,Bioland,"11x0,33l",10.733799999999999,1.713799999999999,19
30547,Heinz vom Stein dunkle Weisse,Schloßbrauerei Stein,Bayern,Naturland,"20x0,5l",20.705999999999996,3.3059999999999974,19
30546,Heinz vom Stein helle Weisse,Schloßbrauerei Stein,Bayern,Naturland,"20x0,5l",20.705999999999996,3.3059999999999974,19
30545,Heinz vom Stein naturtrüb,Schloßbrauerei Stein,Bayern,Naturland,"20x0,5l",20.705999999999996,3.3059999999999974,19
530659,Isar Craftbier hopfengestopftes Helles BIOLAND,Isar Craft Bier,Bayern,Bioland,"10x0,33l",12.495,1.9949999999999992,19
530083,Lager hell BIOLAND,Brauerei Clemens Härle,Regional,Bioland,"20x0,33l",18.087999999999997,2.887999999999998,19
530065,Lager hell BIOLAND,Brauerei Clemens Härle,Regional,Bioland,"20x0,5l",20.944,3.3439999999999976,19
30503,Lammsbräu Dunkel BIOLAND,Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
530656,Lammsbräu EdelHell BIOLAND,Neumarkter,Bayern,Bioland,"10x0,33l",9.52,1.5199999999999996,19
30536,Lammsbräu EdelHell BIOLAND,Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
30500,Lammsbräu EdelPils BIOLAND,Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
30505,Lammsbräu EdelPils NATURLAND,Neumarkter,Bayern,Naturland,"10x0,33l",9.52,1.5199999999999996,19
30529,Lammsbräu Glutenfrei BIOLAND,Neumarkter,Bayern,Bioland,"10x0,33l",11.543,1.843,19
30507,"Lammsbräu Leichte Weiße 2,7%Vol. BIOLAND",Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
530669,"Lammsbräu Leichtes Helles 3,4%Vol. BIOKREIS",Neumarkter,Bayern,Biokreis,"10x0,5l",12.137999999999998,1.9379999999999988,19
30504,Lammsbräu Urstoff BIOLAND,Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
30506,Lammsbräu Weiße BIOLAND,Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
530675,Lammsbräu Zwickl BIOLAND,Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
30514,Neumarkter Winterfestbier,Neumarkter,Bayern,Bioland,"10x0,5l",12.137999999999998,1.9379999999999988,19
30565,Plankstettener Dinkelbier BIOLAND,Plankstettener,Bayern,Bioland,"10x0,33l",9.877,1.577,19
30578,Plankstettener Maibock,Plankstettener,Bayern,Bioland,"10x0,33l",9.52,1.5199999999999996,19
530654,"Riedenburger Dolden Bock 7,9% Vol. BIOLAND",Riedenburger,Bayern,Bioland,"10x0,33l",16.064999999999998,2.5649999999999977,19
530603,Riedenburger Dolden Dark Porter BIOLAND,Riedenburger,Bayern,Bioland,"10x0,33l",13.684999999999999,2.1849999999999987,19
530664,Riedenburger Dolden hell BIOLAND,Riedenburger,Bayern,Bioland,"10x0,33l",13.684999999999999,2.1849999999999987,19
530602,Riedenburger Dolden Sommer Sud BIOLAND,Riedenburger,Bayern,Bioland,"10x0,33l",13.684999999999999,2.1849999999999987,19
530549,Riedenburger Dolden Sud IPA BIOLAND,Riedenburger,Bayern,Bioland,"10x0,33l",13.684999999999999,2.1849999999999987,19
30560,Riedenburger Emmerbier BIOLAND,Riedenburger,Bayern,Bioland,"20x0,5l",25.704,4.103999999999999,19
30576,Riedenburger Festbier Viva Bavaria BIOLAND,Riedenburger,Bayern,Bioland,"20x0,5l",23.324,3.724,19
