ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
7427,ESL-Vollmilch Schwarzwälder BIOLAND - Tetrapak,Schwarzwaldmilch,Baden-Württemberg,Bioland,"10x0,5l",10.700000000000001,0.7000000000000011,7
272022,"ESL-Weide Vollmilch 3,8% BIOLAND - Tetrapak",Andechser,Bayern,Bioland,"10x1,0l",16.799,1.0990000000000002,7
276205,ESL-Ziegenmilch länger frisch - Tetrapak,Leeb,Österreich,100% Biozutaten,"0,5l",2.0009,0.13090000000000002,7
274399,Heumilch g.t.S. Schwarzwälder BIOLAND - Tetrapak,Schwarzwaldmilch Heumilch,Baden-Württemberg,Bioland,"10x1,0l",17.12,1.120000000000001,7
270015,Heumilch Vollmilch DEMETER - Flasche,Die feine Linie,Baden-Württemberg,Demeter (Deutschland),"6x1,0l",10.5288,0.6888000000000005,7
7407,"Milch fettarm 1,5% BIOLAND - Flasche",Schwarzwaldmilch,Baden-Württemberg,Bioland,"6x1,0l",9.3732,0.6132000000000009,7
7006,Milch fettarm DEMETER - Flasche,Schrozberger Milchbauern,Baden-Württemberg,Demeter (Deutschland),"6x1,0l",9.63,0.6300000000000008,7
7001,Vollmilch DEMETER - Flasche,Schrozberger Milchbauern,Baden-Württemberg,Demeter (Deutschland),"6x1,0l",10.272,0.6720000000000006,7
7038,Vollmilch DEMETER Piding - Flasche,Berchtesgadener Land,Bayern,Demeter (Deutschland),"6x1,0l",9.309,0.609,7
7401,Vollmilch Schwarzwälder BIOLAND - Flasche,Schwarzwaldmilch,Baden-Württemberg,Bioland,"6x1,0l",9.63,0.6300000000000008,7
7194,Crème fraiche BIOLAND 30%,Söbbeke,Deutschland,Bioland,10x150g,11.770000000000001,0.7700000000000014,7
270159,Crème fraiche DEMETER Glas,Schrozberger Milchbauern,Baden-Württemberg,Demeter (Deutschland),6x250g,12.0696,0.7896000000000001,7
8521,FrischeCreme Bärlauch-Knoblauch BIOLAND 70% F.i.Tr,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x150g,11.6202,0.7602000000000011,7
285224,FrischeCreme Gartengemüse BIOLAND 70% F.i.Tr.,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x150g,11.6202,0.7602000000000011,7
8189,Frischecreme Kräuter BIOLAND 65%F.i.Tr. - Theke,Weißenhorner Milch Manufaktur,Diverse,Bioland,"1,5kg",23.561400000000003,1.541400000000003,7
8192,Frischecreme Kräuter BIOLAND 70% F.i.Fr.,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x150g,11.6202,0.7602000000000011,7
8797,FrischeCreme Kreta BIOLAND 70% F.i.Tr.,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x125g,11.6202,0.7602000000000011,7
287985,FrischeCreme med. Capri BIOLAND 70% F.i.Tr.,Weißenhorner Milch Manufaktur,Deutschland,Bioland,6x125g,11.6202,0.7602000000000011,7
8133,FrischeCreme Meerrettich BIOLAND 70% F.i.Tr.,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x150g,11.6202,0.7602000000000011,7
8202,FrischeCreme Paprika BIOLAND 70% F.i.Tr.,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x150g,11.6202,0.7602000000000011,7
8524,Frischecreme Sahne BIOLAND 65% F.i.Tr. - Theke,Weißenhorner Milch Manufaktur,Diverse,Bioland,"1,5kg",23.561400000000003,1.541400000000003,7
8199,FrischeCreme Sahne BIOLAND 70% F.i.Tr.,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x150g,11.6202,0.7602000000000011,7
8798,FrischeCreme Toskana BIOLAND,Weißenhorner Milch Manufaktur,Deutschland,Bioland,6x125g,11.6202,0.7602000000000011,7
7017,Mascarpone BIOLAND 80%,Weißenhorner Milch Manufaktur,Diverse,Bioland,6x250g,17.655,1.1550000000000011,7
271423,Rahm zum Kochen 15% - Tetra Top,Berchtesgadener Land,Bayern,NF,8x250g,10.1864,0.6664000000000012,7
