ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
693841,Anti-Falten Nachtcreme Q10 basis sensitiv,Lavera,Diverse,Naturkosmetik (BNN),50ml,9.2701,1.4800999999999993,19
571382,Anti-Falten Serum Blauer Enzian & Edelweiß,Weleda,Diverse,Naturkosmetik (BNN),30ml,17.790499999999998,2.8404999999999987,19
571066,Anti-Pigmentflecken Bright Serum,Weleda,Diverse,Naturkosmetik (BNN),30ml,18.3141,2.9240999999999993,19
571735,Barrier Balance 2-Phasen Mizellenwasser,Lavera,Diverse,Naturkosmetik (BNN),400ml,6.4855,1.0354999999999999,19
571739,Barrier Balance Augenpflege,Lavera,Diverse,Naturkosmetik (BNN),15ml,7.3304,1.1703999999999999,19
571737,Barrier Balance Nachtpflege,Lavera,Diverse,Naturkosmetik (BNN),50ml,7.4494,1.1894,19
571738,Barrier Balance Serum,Lavera,Diverse,Naturkosmetik (BNN),30ml,7.4494,1.1894,19
571736,Barrier Balance Tagespflege,Lavera,Diverse,Naturkosmetik (BNN),50ml,6.8306,1.0905999999999993,19
571202,Basis Sensitiv Beruhigende Feuchtigkeitscreme,Lavera,Diverse,Naturkosmetik (BNN),50ml,6.913899999999999,1.1038999999999994,19
571203,Basis Sensitiv Beruhigende Nachtcreme,Lavera,Diverse,Naturkosmetik (BNN),50ml,7.8896999999999995,1.2596999999999996,19
571207,Basis Sensitiv Feuchtigkeitscreme,Lavera,Diverse,Naturkosmetik (BNN),50ml,5.926200000000001,0.9462000000000002,19
571206,Basis Sensitiv Mildes Gesichtswasser,Lavera,Diverse,Naturkosmetik (BNN),200ml,5.259799999999999,0.8397999999999994,19
571208,Basis Sensitiv Reichhaltige Feuchtigkeitscreme,Lavera,Diverse,Naturkosmetik (BNN),50ml,5.926200000000001,0.9462000000000002,19
571209,Basis Sensitiv Reinigungsmilch,Lavera,Diverse,Naturkosmetik (BNN),125ml,4.8552,0.7751999999999999,19
571204,Basis Sensitiv Reinigungsschaum,Lavera,Diverse,Naturkosmetik (BNN),150ml,5.2836,0.8435999999999995,19
571210,Basis Sensitiv Waschgel,Lavera,Diverse,Naturkosmetik (BNN),125ml,4.403,0.7029999999999994,19
587221,cleansing emulsion,SantaVerde,Diverse,Naturkosmetik (BNN),100ml,12.0785,1.9284999999999997,19
570980,Cleansing Gel - 2 in 1 Deep Cleanse,Primavera,Deutschland,Naturkosmetik (BNN),100ml,13.1614,2.1014,19
587220,cleansing gel,SantaVerde,Diverse,Naturkosmetik (BNN),100ml,12.0785,1.9284999999999997,19
570981,Cleansing Milk - Soft & Delicate,Primavera,Diverse,Naturkosmetik (BNN),100ml,17.1241,2.734099999999998,19
570979,Cleansing Oil - calming & softening,Primavera,Diverse,Naturkosmetik (BNN),100ml,17.1241,2.734099999999998,19
571643,Cleansing Oil - Make Up Removal - parfümfrei,Weleda,Diverse,nicht per Bio-VO geregelt,150ml,10.7219,1.7119,19
571391,Cold Cream Gesichtscreme,Weleda,Diverse,Naturkosmetik (BNN),30ml,7.009099999999999,1.1190999999999995,19
570956,collagen drops,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,21.1939,3.3839000000000006,19
571068,Creme basis sensitiv - Dose,Lavera,Diverse,Naturkosmetik (BNN),150ml,4.5100999999999996,0.7200999999999995,19
571642,Deep Cleansing Gel,Weleda,Diverse,nicht per Bio-VO geregelt,150ml,10.0079,1.5978999999999992,19
587864,Dudu-Shea Reine Sheabutter pure,Dudu Osun,Nigeria,Naturkosmetik (BNN),100ml,11.650099999999998,1.8600999999999992,19
584871,enzyme peeling powder,SantaVerde,Diverse,Naturkosmetik (BNN),23g,15.5414,2.481399999999999,19
571719,Extra Rich Omega Serum Drops,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.1634,1.303399999999999,19
571341,Facecream for men only - feuchtigkeitsspendend,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
571380,Festigende Nachtpflege Blauer Enzian & Edelweiß,Weleda,Schweiz,28,40ml,17.1122,2.7322000000000006,19
571379,Festigende Tagespflege Blauer Enzian & Edelweiß,Weleda,Diverse,Naturkosmetik (BNN),40ml,16.4577,2.627699999999999,19
571477,Feuchtigkeits - Nachtcreme,Cattier,Diverse,Naturkosmetik (BNN),30ml,9.8532,1.5732,19
571635,Feuchtigkeits-Serum mit Pipette DEMETER - Lavendel,Baldini,Diverse,Demeter (Deutschland),30ml,8.9607,1.430699999999999,19
696716,Feuchtigkeitscreme For Men,Weleda,Diverse,Naturkosmetik (BNN),30ml,7.9967999999999995,1.2767999999999997,19
571370,For Men 2in1 Face Wash,Weleda,Diverse,Naturkosmetik (BNN),100ml,5.712,0.9119999999999999,19
571378,For Men 5in1 Multi-Action Serum,Weleda,Diverse,Naturkosmetik (BNN),30ml,9.3296,1.4895999999999994,19
989485,für IHN: Gesichtspflege Zirbe Hopfen,Lenz,Diverse,Naturkosmetik (BNN),50ml,4.1531,0.6631,19
571335,Gesichtscreme Mandel MIMOSE:R,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
693091,Gesichtscreme neutral,Lavera,Diverse,Naturkosmetik (BNN),50ml,9.555699999999998,1.5256999999999987,19
587741,Gesichtscreme Nr.8 - reichhaltig,Bioturm,Diverse,Naturkosmetik (BNN),75ml,8.9964,1.4364,19
571336,Gesichtscreme Shea FEUCHT:ER,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
571877,Gesichtserum Prä- und Probiotik - BALANCIERER:IN,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
693090,Gesichtsfluid neutral,Lavera,Diverse,Naturkosmetik (BNN),50ml,9.555699999999998,1.5256999999999987,19
989255,Gesichtsfluid Sonnenhut Hagebutte,Lenz,Diverse,Naturkosmetik (BNN),30ml,4.3316,0.6915999999999998,19
571337,Gesichtsfluid Wildrose HARMONISIERER:IN,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
571876,Gesichtsserum Feuchtigkeit - HYDRIERER:IN,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
571340,Gesichtsserum Hyaluronsäure AUFBÜGLER:IN,Benecos,Diverse,Naturkosmetik (BNN),50ml,3.1178,0.4977999999999998,19
989210,Gesichtswasser Kamille Melisse,Lenz,Diverse,Naturkosmetik (BNN),150ml,4.200699999999999,0.6706999999999996,19
89208,GINSENG Cream DEMETER,Martina Gebhardt,Diverse,Demeter (Deutschland),50ml,14.8274,2.3674,19
571384,Glättende Nachtpflege - Wildrose & Weißer Tee,Weleda,Diverse,Naturkosmetik (BNN),40ml,12.018999999999998,1.9189999999999987,19
571383,Glättende Tagespflege - Wildrose & Weißer Tee,Weleda,Diverse,Naturkosmetik (BNN),40ml,11.352599999999999,1.8125999999999998,19
571191,Glow by Nature Anti-UV Fluid LSF 30,Lavera,Diverse,Naturkosmetik (BNN),30ml,7.4851,1.1951,19
571765,Glow by Nature Anti-UV Fluid LSF50 - leicht getönt,Lavera,Diverse,Naturkosmetik (BNN),40ml,9.8532,1.5732,19
571767,Glow by Nature Liquid Luminizer Refiner - Peeling,Lavera,Diverse,Naturkosmetik (BNN),100ml,6.6997,1.0697,19
571770,Glow by Nature Liquid Vitamin C 3in1 Creme,Lavera,Diverse,Naturkosmetik (BNN),50ml,10.8409,1.7309,19
571769,Glow by Nature Liquid Vitamin C Boost - Serum,Lavera,Diverse,Naturkosmetik (BNN),30ml,12.887699999999999,2.0576999999999988,19
571722,Glow Perfecting Serum Drops,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.1634,1.303399999999999,19
570993,Glowing Age Day Cream - Ultimate New Aging,Primavera,Diverse,Naturkosmetik (BNN),30ml,26.3823,4.212299999999999,19
570988,Glowing Age Toning Lotion - Perfectly Illuminating,Primavera,Diverse,Naturkosmetik (BNN),100ml,17.1241,2.734099999999998,19
571067,Glowy UV Fluid LSF30,Weleda,Diverse,Naturkosmetik (BNN),30ml,9.4486,1.5086000000000004,19
89210,HAPPY AGING Cream DEMETER - Kleingröße,Martina Gebhardt,Diverse,Demeter (Deutschland),15ml,7.687399999999999,1.2273999999999994,19
588009,Happy Cleansing Wipes-Reinigungstücher,Benecos,Diverse,Naturkosmetik (BNN),25Stück,1.785,0.2849999999999999,19
571006,Hyaluron Serum - De-Stressing & Regenerating,Primavera,Diverse,Naturkosmetik (BNN),30ml,32.9987,5.268699999999999,19
570149,hyaluron+ Serum - parfümfrei,SantaVerde,Diverse,Naturkosmetik (BNN),30ml,18.1832,2.9032,19
571720,Hyaluronic Moisture Serum Drops,Weleda,Diverse,Naturkosmetik (BNN),30ml,8.1634,1.303399999999999,19
570987,Hydrating Face Cream - Ultra soft & Calming,Primavera,Diverse,Naturkosmetik (BNN),30ml,13.1614,2.1014,19
570984,Hydrating Face Fluid - Pollution Protection,Primavera,Diverse,Naturkosmetik (BNN),30ml,13.1614,2.1014,19
570983,Hydrating Face Toner - Ultra Hydrating,Primavera,Diverse,Naturkosmetik (BNN),100ml,13.1614,2.1014,19
571112,Hydro Refresh Creme-Gel,Lavera,Diverse,Naturkosmetik (BNN),50ml,11.6382,1.8582,19
571114,Hydro Refresh Gesichts-Pflegespray,Lavera,Diverse,Naturkosmetik (BNN),100ml,6.4855,1.0354999999999999,19
