Kategorie,ArtikelNr,Bezeichnung,Hersteller,Land,Qualitaet,Gebinde,PreisInklMwst,EntMwst,MwstSatz
Drogerie Kosmetik Nonfood,37155,Kürbis Hokkaido Red Kuri,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37156,Stiel-Mangold Glatter Silber,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37157,Möhre Rodelika bioverita,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37161,Petersilie kraus Mooskrause,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37163,Radies Eiszapfen,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37164,Radies Sora,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37165,Rettich Runder Schwarzer Winter,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37166,Rote Bete Robuschka bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37169,Eissalat Laibacher Eis,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37170,Batavia Maravilla da Verano,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37171,Pflücksalat Red Salad Bowl,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37172,Pflücksalat Lollo Bionda,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37173,Pflücksalat Till,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37176,Tomate Hellfrucht,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37177,Tomate Matina,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37178,Cocktailtomate Zuckertraube,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,13.1733,1.9475,7
Drogerie Kosmetik Nonfood,37179,Tomate Berner Rose - Fleischtomate,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37181,Zucchini Zuboda,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37183,Rucola Salatrauke,Bingenheimer Saatgut,Europäische Union,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37186,Asia Salat Red Giant,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37188,Lauch Avano bioverita,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37191,Basilikum rot,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37192,Bohnenkraut einjährig,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37194,Dill Bob,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37195,Kerbel Commun,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,7.7755,1.1495,7
Drogerie Kosmetik Nonfood,37196,Schnittlauch Schmitt mittelgrobröhrig,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
Drogerie Kosmetik Nonfood,37197,Thymian,Bingenheimer Saatgut,Deutschland,Demeter (Deutschland),5Tüten,11.5025,1.7005,7
