"ArtikelNr","Bezeichnung","Hersteller","Land","Qualitaet","Gebinde","PreisInklMwst","EntMwst","MwstSatz"
"697380","Protein Mix Veggie","Landgarten","Diverse","100% Biozutaten","10x40g","13.9828","0.847","7"
"697381","Kürbis in Zartbitter-Schokolade","Landgarten","Diverse","100% Biozutaten","10x50g","13.9828","0.847","7"
"697382","Kürbis in Vollmilch-Schokolade","Landgarten","Diverse","100% Biozutaten","10x50g","13.9828","0.847","7"
"697419","Macandro 500mg | 75St","GSE","Diverse","100% Biozutaten","37,5g","16.6753","1.0101","7"
"697420","Astaxanthin aus Alge + Selen 375mg | 45St","GSE","Diverse","100% Biozutaten","17g","20.015","1.2124","7"
"697430","Lebkuchen Zeit - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,8g","18.3047","1.1088","7"
"697431","Zimt Zauber - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,8g","18.3047","1.1088","7"
"697436","Happiness is - Lebensfeuer - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,7g","18.3047","1.1088","7"
"697437","Happiness is - Pure Leichtigkeit - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,7g","18.3047","1.1088","7"
"697438","Happiness is - Wild sein - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,5g","18.3047","1.1088","7"
"697439","Happiness is - Aufblühen - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,5g","18.3047","1.1088","7"
"697440","Happiness is - Frau sein - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,7g","18.3047","1.1088","7"
"697447","Frohe Ostern - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,5g","18.3047","1.1088","7"
"697448","Frohe Ostern","Sonnentor","Diverse","100% Biozutaten","6x60g","21.2168","1.2852","7"
"697450","Steak That Grillgewürzmischung","Sonnentor","Diverse","100% Biozutaten","6x50g","18.0967","1.0962","7"
"697452","Rub me Tender Grillgewürzmischung","Sonnentor","Diverse","100% Biozutaten","6x60g","18.0967","1.0962","7"
"697453","Holy Veggie Grillgewürzmischung","Sonnentor","Diverse","100% Biozutaten","6x30g","18.0967","1.0962","7"
"697454","Fish & Chicks Grillgewürzmischung","Sonnentor","Diverse","100% Biozutaten","6x55g","18.0967","1.0962","7"
"697455","Ras el Hanout Gewürz","Sonnentor","Diverse","100% Biozutaten","6x38g","16.8486","1.0206","7"
"697466","Chili feuerscharf gemahlen","Sonnentor","Diverse","EG-Bio","6x40g","13.7979","0.8358","7"
"697476","Basen Fastenzeit Tee","Sonnentor","Diverse","100% Biozutaten","6x50g","20.3848","1.2348","7"
"697512","Lübecker Marzipankartoffeln","Lubs","Diverse","100% Biozutaten","6x100g","22.5342","1.365","7"
"697537","Happiness is - Frieden finden - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,5g","18.3047","1.1088","7"
"697544","Happiness is - Heavy Metal - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,5g","18.3047","1.1088","7"
"697568","Thymian - Tbt","Sonnentor","Diverse","EG-Bio","6x18x1,2g","16.294","0.987","7"
"697569","Zitronenmelisse - Tbt","Sonnentor","Österreich","EG-Bio","6x18x1,2g","16.294","0.987","7"
"697577","Wieder gut: Im Wechsel - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x1,5g","18.3047","1.1088","7"
"697578","Gemüsesuppe Suppennwürfel zuckerfrei","Sonnentor","Diverse","100% Biozutaten","15x6x11g","30.3345","1.8375","7"
"697579","Gemüsesuppe Zuckerfrei - Glas","Sonnentor","Diverse","100% Biozutaten","6x120g","19.4141","1.176","7"
"697580","Tafel Zartbitter Gebrannte Mandel","Vivani","Diverse","100% Biozutaten","12x80g","25.6543","1.554","7"
"697591","Tafel Edel Bitter 100% mit Nibs vegan","Vivani","Diverse","100% Biozutaten","10x80g","31.4323","1.904","7"
"697596","Chlorella 400mg - Tabletten","Sanatur","Volksrepublik China","Naturland ","100Stück","8.7248","0.5285","7"
"697597","Spirulina 400mg - Tabletten","Sanatur","Diverse","Naturland ","100Stück","8.0776","0.4893","7"
"697605","Kraft, Ruhe und Wohl 3er Set","Kruut","Deutschland","100% Biozutaten","3x15ml","4.2179","0.2555","7"
"697606","Kräuterauszug Kraft","Kruut","Deutschland","EG-Bio","150ml","10.5737","0.6405","7"
"697607","Kräuterauszug Ruhe","Kruut","Deutschland","EG-Bio","150ml","10.5737","0.6405","7"
"697619","Natürliche Balance - Tbt","Yogi Tea","Diverse","100% Biozutaten","6x17x2,0g","14.6992","0.8904","7"
"697620","Ashwagandha - Kapseln","Sanatur","Indien","100% Biozutaten","60Stück","13.8094","0.8365","7"
"697621","Truffes Pralinen 0,9% Vol","Vivani","Diverse","100% Biozutaten","6x100g","56.1622","3.402","7"
"697624","Acerola Lutschtabletten","Sanatur","Deutschland","100% Biozutaten","60Stück","8.4474","0.5117","7"
"697627","Kräuterauszug Bitter","Kruut","Deutschland","EG-Bio","150ml","10.5737","0.6405","7"
"697628","Kräuterauszug Immun","Kruut","Deutschland","EG-Bio","150ml","10.5737","0.6405","7"
"697629","Vitamin D3 Compact 500mg | 60St","GSE","Diverse","100% Biozutaten","30g","18.6629","1.1305","7"
"697636","Vitamin C Compact 500mg | 60St","GSE","Diverse","100% Biozutaten","30g","13.405","0.812","7"
"697642","OPC Zellschutz Complex 500mg | 60St","GSE","Diverse","100% Biozutaten","30g","20.015","1.2124","7"
"697643","Immun Complex 500mg | 60St","GSE","Diverse","100% Biozutaten","30g","20.015","1.2124","7"
"697644","Zink + Vitamin C Complex 500mg | 60St","GSE","Diverse","100% Biozutaten","30g","20.015","1.2124","7"
"697645","Omega 3 Perillaöl Kapseln vegan | 90St","GSE","Diverse","","54g","16.9295","1.0255","7"
"697647","Konjac Spaghetti glutenfrei","Terrasana","Diverse","99%","6x250g","12.7578","0.7728","7"
"697648","Konjac Tagliatelle glutenfrei","Terrasana","Diverse","99%","6x250g","12.7578","0.7728","7"
"697653","Kornfix aus Dinkel","Erdmann Hauser","Deutschland","Demeter (Deutschland)","6x500g","15.6006","0.945","7"
"697654","Knusperbrot Tomate Paprika glutenfrei","Blumenbrot","Diverse","100% Biozutaten","6x150g","19.4141","1.176","7"
"697657","Seelenbalsam - Tbt","Yogi Tea","Diverse","100% Biozutaten","6x17x1,9g","14.6992","0.8904","7"
"697658","Tulsi Gelassenheit - Tbt","Yogi Tea","Diverse","100% Biozutaten","6x17x2,0g","14.6992","0.8904","7"
"697666","Himmlischer Christkindl Tee","Sonnentor","Diverse","100% Biozutaten","6x60g","20.3848","1.2348","7"
"697667","Kaminknistern Früchtetee","Sonnentor","Diverse","100% Biozutaten","6x100g","20.3848","1.2348","7"
"697668","Lichterglanz Kräutertee","Sonnentor","Diverse","100% Biozutaten","6x45g","20.3848","1.2348","7"
"697669","Winternacht Tee","Sonnentor","Diverse","100% Biozutaten","6x100g","20.3848","1.2348","7"
"697670","Advent Tee - Tbt","Sonnentor","Diverse","100% Biozutaten","6x18x2,8g","18.3047","1.1088","7"
